CODIGO;DESCRICAO;  CUSTO   
300001; AZUL MONO EXTERNO 286-C ; 27,66 
300002; PRETO MONO CROMIA EXTERNO ; 21,92 
300003; AMARELO MONO EXTERNO 1205-C ; 17,12 
300004; AMARELO MONO EXTERNO 149-C ; 15,61 
300005; AMARELO MONO EXTERNO 600-C ; 16,81 
300006; AZUL MONO EXTERNO 660-C ; 20,50 
300007; AZUL MONO EXTERNO 661-C ; 26,07 
300008; AZUL MONO EXTERNO 641-C ; 21,65 
300009; AZUL MONO EXTERNO 628-C ; 14,45 
300010; CINZA MONO EXTERNO 427-C ; 16,74 
300011; CINZA MONO EXTERNO 415-C ; 16,83 
300012; CINZA MONO EXTERNO 407-C ; 14,68 
300013; CINZA MONO EXTERNO WARM GRAY 4-C ; 15,00 
300017; ROSA MONO EXTERNO 700-C ; 10,23 
300019; ROSA MONO EXTERNO 516-C ; 16,52 
300020; ROSA MONO EXTERNO  RUBINE RED-C ; 20,59 
300021; SALMON MONO EXTERNO 486-C ; 20,70 
300022; VERDE MONO EXTERNO 318-C ; 18,71 
300023; VERDE MONO EXTERNO 374-C ; 18,64 
300024; VERDE MONO EXTERNO 372-C ; 21,25 
300028; VERDE MONO EXTERNO 355-C ; 23,31 
300029; AMARELO MONO EXTERNO 1235-C ; 23,50 
300030; AMARELO MONO EXTERNO NUTRELLA ; 23,03 
300032; AMARELO MONO EXTERNO KILEITE ; 19,53 
300034; AMARELO MONO EXTERNO GUANABARA ; 13,45 
300038; AMARELO CROMIA CEREAL-C ; 33,11 
300039; AZUL CYAN CROMIA CEREAL-C ; 33,83 
300040; MAGENTA CROMIA CEREAL-C ; 31,40 
300041; PRETO CROMIA CEREAL -C ; 34,66 
300046; AMARELO MONO CROMIA EXTERNO ; 29,04 
300048; MAGENTA MONO CROMIA EXTERNO ; 23,31 
300049; LARANJA MONO LAM HEXACHROME ORANGE-C ; 21,06 
300052; AZUL MONO LAM 2738-C  222 ; 30,40 
300053; AZUL MONO LAM 2755-C ; 38,36 
300054; VERDE MONO EXTERNO 348-C ; 23,91 
300055; VERDE MONO EXTERNO 382-C ; 22,00 
300056; VERDE MONO EXTERNO BELCRAK-C ; 22,53 
300057; VERDE MONO EXTERNO 367-C ; 22,64 
300058; VERDE MONO EXTERNO 369-C ; 23,87 
300060; AMARELO MONO EXTERNO 137-C ; 26,53 
300062; AMARELO MONO EXTERNO 109-C ; 25,18 
300063; AMARELO MONO EXTERNO 115-C ; 20,04 
300065; AMARELO MONO EXTERNO 124-C ; 26,48 
300066; AMARELO MONO EXTERNO 127-C ; 17,20 
300067; AMARELO MONO EXTERNO 110-C ; 24,56 
300068; AMARELO MONO EXTERNO 1225-C ; 23,97 
300069; AMARELO MONO EXTERNO 134-C ; 16,47 
300070; AMARELO MONO EXTERNO 101-C ; 22,45 
300071; AMARELO MONO EXTERNO 107-C ; 15,80 
300072; AMARELO MONO EXTERNO 116-C ; 27,47 
300073; AMARELO MONO EXTERNO 103-C ; 24,28 
300074; AMARELO MONO EXTERNO 7406-C ; 20,33 
300075; AMARELO MONO EXTERNO 102-C ; 21,87 
300077; AZUL MONO EXTERNO 2935-C ; 29,45 
300078; AZUL MONO EXTERNO 277-C ; 15,87 
300079; AZUL MONO EXTENO 654-C ; 25,50 
300080; AZUL MONO EXTERNO 540-C ; 22,60 
300082; AZUL MONO EXTERNO 539-C ; 31,57 
300083; AZUL MONO EXTERNO 652-C ; 17,77 
300084; AZUL MONO EXTERNO 2955-C ; 25,12 
300086; AZUL MONO EXTERNO KILEITE-C ; 20,90 
300087; AZUL MONO EXTERNO 313-C ; 19,76 
300088; AZUL MONO EXTERNO 307-C ; 21,86 
300089; AZUL MONO EXTERNO 298-C ; 16,95 
300092; AZUL MONO EXTERNO 7462-C ; 27,57 
300094; AZUL MONO EXTERNO 7460-C ; 22,52 
300095; AZUL MONO EXTERNO 2925-C ; 18,22 
300097; AZUL MONO EXTERNO 636-C ; 15,00 
300098; AZUL MONO EXTERNO PANICCIA-C ; 35,14 
300099; AZUL MONO EXTERNO 284-C ; 27,26 
