ID_Composicao;Nome_Composicao;Grupo_Rosca;Percentual_Rosca;Cod_Material;Descricao_Material;Qtd_Original_Na_Rosca;Qtd_Corrigida_No_Filme;Unidade
245;COEX FORM ENCOLHIVEL CECRISA;ROSCA A;25.0;511095;PEBD REC. INDUSTRIAL CECRISA;28.0;7.0;KG
245;COEX FORM ENCOLHIVEL CECRISA;ROSCA A;25.0;500001;PELBD METALOCENICO PROXESS 1806 S3;40.0;10.0;KG
245;COEX FORM ENCOLHIVEL CECRISA;ROSCA A;25.0;505579;PEBD INDUSTRIAL TX7001;32.0;8.0;KG
245;COEX FORM ENCOLHIVEL CECRISA;ROSCA B;50.0;508385;ADIT. MBPEBD ANTI-UV (6);2.0;1.0;KG
245;COEX FORM ENCOLHIVEL CECRISA;ROSCA B;50.0;503271;PEAD HE-150 PL14;12.0;6.0;KG
245;COEX FORM ENCOLHIVEL CECRISA;ROSCA B;50.0;511095;PEBD REC. INDUSTRIAL CECRISA;29.0;14.5;KG
245;COEX FORM ENCOLHIVEL CECRISA;ROSCA B;50.0;505579;PEBD INDUSTRIAL TX7001;57.0;28.5;KG
245;COEX FORM ENCOLHIVEL CECRISA;ROSCA C;25.0;509688;PELBD METALOCENICO PROXESS 1809 PL14;28.0;7.0;KG
245;COEX FORM ENCOLHIVEL CECRISA;ROSCA C;25.0;505579;PEBD INDUSTRIAL TX7001;33.0;8.25;KG
245;COEX FORM ENCOLHIVEL CECRISA;ROSCA C;25.0;508385;ADIT. MBPEBD ANTI-UV (6);4.0;1.0;KG
245;COEX FORM ENCOLHIVEL CECRISA;ROSCA C;25.0;500001;PELBD METALOCENICO PROXESS 1806 S3;35.0;8.75;KG
299;MONO FORMULA TRANSPARENTE TEXTIL OESTE;MONO;100.0;508116;ADIT. ANTI-BLOQUEIO 5009;1.0;1.0;KG
299;MONO FORMULA TRANSPARENTE TEXTIL OESTE;MONO;100.0;500207;ADIT. ANTI-ESTATICO;2.0;2.0;KG
299;MONO FORMULA TRANSPARENTE TEXTIL OESTE;MONO;100.0;500008;PEBD REC. CONVENCIONAL;10.0;10.0;KG
299;MONO FORMULA TRANSPARENTE TEXTIL OESTE;MONO;100.0;503271;PEAD HE-150 PL14;20.0;20.0;KG
299;MONO FORMULA TRANSPARENTE TEXTIL OESTE;MONO;100.0;500001;PELBD METALOCENICO PROXESS 1806 S3;67.0;67.0;KG
300;MONO FORMULA BRANCO REC. TEXTIL OESTE;MONO;100.0;500043;PEBD REC. BRANCO COMUM;100.0;100.0;KG
301;MONO FORMULA BRANCO REC. TRANSLUCIDO TEXTIL OESTE;MONO;100.0;500001;PELBD METALOCENICO PROXESS 1806 S3;65.0;65.0;KG
301;MONO FORMULA BRANCO REC. TRANSLUCIDO TEXTIL OESTE;MONO;100.0;503271;PEAD HE-150 PL14;20.0;20.0;KG
301;MONO FORMULA BRANCO REC. TRANSLUCIDO TEXTIL OESTE;MONO;100.0;500043;PEBD REC. BRANCO COMUM;15.0;15.0;KG
313;COEX FORMULA PERFIL GRAF FLEXO ACIMA DE 90 MICRAS (REC. BRANCO);ROSCA A;25.0;509688;PELBD METALOCENICO PROXESS 1809 PL14;72.5;18.125;KG
313;COEX FORMULA PERFIL GRAF FLEXO ACIMA DE 90 MICRAS (REC. BRANCO);ROSCA A;25.0;504037;PIG. BRANCO PADRAO;5.5;1.375;KG
313;COEX FORMULA PERFIL GRAF FLEXO ACIMA DE 90 MICRAS (REC. BRANCO);ROSCA A;25.0;503037;ADIT. AUXILIAR DE FLUXO;2.0;0.5;KG
313;COEX FORMULA PERFIL GRAF FLEXO ACIMA DE 90 MICRAS (REC. BRANCO);ROSCA A;25.0;502516;PEBD CONVENCIONAL EB 853/72;20.0;5.0;KG
313;COEX FORMULA PERFIL GRAF FLEXO ACIMA DE 90 MICRAS (REC. BRANCO);ROSCA B;50.0;509688;PELBD METALOCENICO PROXESS 1809 PL14;19.5;9.75;KG
313;COEX FORMULA PERFIL GRAF FLEXO ACIMA DE 90 MICRAS (REC. BRANCO);ROSCA B;50.0;500043;PEBD REC. BRANCO COMUM;40.0;20.0;KG
313;COEX FORMULA PERFIL GRAF FLEXO ACIMA DE 90 MICRAS (REC. BRANCO);ROSCA B;50.0;505579;PEBD INDUSTRIAL TX7001;35.0;17.5;KG
313;COEX FORMULA PERFIL GRAF FLEXO ACIMA DE 90 MICRAS (REC. BRANCO);ROSCA B;50.0;504037;PIG. BRANCO PADRAO;5.5;2.75;KG
313;COEX FORMULA PERFIL GRAF FLEXO ACIMA DE 90 MICRAS (REC. BRANCO);ROSCA C;25.0;503037;ADIT. AUXILIAR DE FLUXO;2.0;0.5;KG
313;COEX FORMULA PERFIL GRAF FLEXO ACIMA DE 90 MICRAS (REC. BRANCO);ROSCA C;25.0;502516;PEBD CONVENCIONAL EB 853/72;20.0;5.0;KG
313;COEX FORMULA PERFIL GRAF FLEXO ACIMA DE 90 MICRAS (REC. BRANCO);ROSCA C;25.0;506154;PELBD FLEXUS 9211;78.0;19.5;KG
315;COEX FORMULA PERFIL GRAF PARA FLEXO DE 90 A 140 MICRAS;ROSCA A;25.0;502516;PEBD CONVENCIONAL EB 853/72;20.0;5.0;KG
315;COEX FORMULA PERFIL GRAF PARA FLEXO DE 90 A 140 MICRAS;ROSCA A;25.0;509688;PELBD METALOCENICO PROXESS 1809 PL14;74.5;18.625;KG
315;COEX FORMULA PERFIL GRAF PARA FLEXO DE 90 A 140 MICRAS;ROSCA A;25.0;504037;PIG. BRANCO PADRAO;5.5;1.375;KG
315;COEX FORMULA PERFIL GRAF PARA FLEXO DE 90 A 140 MICRAS;ROSCA B;50.0;505579;PEBD INDUSTRIAL TX7001;35.0;17.5;KG
315;COEX FORMULA PERFIL GRAF PARA FLEXO DE 90 A 140 MICRAS;ROSCA B;50.0;509688;PELBD METALOCENICO PROXESS 1809 PL14;59.5;29.75;KG
315;COEX FORMULA PERFIL GRAF PARA FLEXO DE 90 A 140 MICRAS;ROSCA B;50.0;504037;PIG. BRANCO PADRAO;5.5;2.75;KG
